1;1;10
2;12;2.49
6;33;1.43
9;2;7.89
9;34;9.84
13;5;6.22
14;28;7.6
8;14;7.62
8;30;6.7
10;27;5.1
4;10;7.91
8;29;7.78
11;22;9.69
13;5;1.22
11;6;8.77
14;11;7.19
11;35;8.33
13;8;4.45
1;23;7.8
6;25;8.36
8;30;1.34
5;23;2.71
9;32;6.92
7;29;2.65
7;20;4.58
3;9;2.71
13;2;5.56
13;27;6.25
11;7;5.64
13;7;5.13
4;36;4.41
3;30;5.49
5;27;7.36
1;13;3.1
9;3;8.88
6;19;2.36
6;36;1.19
13;3;5.94
7;18;8.41
14;18;3.51
7;11;5.08
4;26;7.71
9;5;2.03
7;22;7.86
9;7;3.79
4;22;5.88
10;18;9.59
5;3;1.63
2;24;4.64
2;10;4.97
